termID,termName,termDesc,unitName,dataType,measurementScale,relatedTerms,dateSubmitted,dateAccepted,submittedBy
26,replacedTag,"Indicates which ear tag was replaced (L#### | R####) or which ear appears to have lost a tag ('left' = left ear tag replaced; 'right' = right ear tag replaced)",NA,string,NULL,NULL,NULL,NULL,NULL
27,recapture,"Indicates whether or not the captured individual is a recapture; 'Y' for yes, 'N' for no",NA,string,NULL,NULL,NULL,NULL,NULL
28,fate,"The fate of the individual, unless marked and released; 'dead' = dead, 'escaped' = escaped while handling, 'nontarget' = released, non-target species, 'released' = target or opportunistic species released without full processing",NA,string,NULL,NULL,NULL,NULL,NULL
29,bloodSampleID,"Unique identifier for the blood sample",NA,string,NULL,NULL,NULL,NULL,NULL
30,bloodSampleMethod,"Method used to collect the blood sample",NA,string,NULL,NULL,NULL,NULL,NULL
31,fecalSampleID,"Unique identifier for the fecal sample",NA,string,NULL,NULL,NULL,NULL,NULL
32,fecalSampleCondition,"Condition of fecal sample at time of collection; 'fresh' = fresh fecal sample collected from mammal; 'old' = 'Old' fecal sample collected from trap",NA,string,NULL,NULL,NULL,NULL,NULL
33,earSampleID,"Unique identifier for the ear sample",NA,string,NULL,NULL,NULL,NULL,NULL
34,hairSampleID,"Unique identifier for the hair sample",NA,string,NULL,NULL,NULL,NULL,NULL
35,whiskerSampleID,"Unique identifier for the whisker sample",NA,string,NULL,NULL,NULL,NULL,NULL
36,voucherSampleID,"Unique identifier for the voucher sample",NA,string,NULL,NULL,NULL,NULL,NULL
37,measuredBy,"An identifier for the technician who measured or collected the data",NA,string,NULL,NULL,NULL,NULL,NULL
38,recordedBy,"An identifier for the technician who recorded the data",NA,string,NULL,"DWC_v2014-10-23:recordedBy [http://rs.tdwg.org/dwc/terms/history/index.htm#recordedBy-2014-10-23]",NULL,NULL,NULL
39,eventID,"An identifier for the set of information associated with the event, which includes information about the place and time of the event",NA,string,NULL,"DWC_v2009-04-24:eventID [http://rs.tdwg.org/dwc/terms/history/index.htm#eventID-2009-04-24]",NULL,NULL,NULL
40,night,"Number of the night of trapping or collection event within the multi-night sampling bout",NA,"unsigned integer",NULL,NULL,NULL,NULL,NULL
41,setTraps,"Total number of traps set per reference area (site, plot, etc.)",number,"unsigned integer",NULL,NULL,NULL,NULL,NULL
42,disturbedTraps,"Total number of set traps that were closed or disturbed",number,"unsigned integer",NULL,NULL,NULL,NULL,NULL
43,samplingEffort,"The total amount of sampling effort (e.g. trapping effort) expended during a bout; with necessary corrections (e.g., for disturbed traps)",trapNight,"unsigned integer",NULL,NULL,NULL,NULL,NULL
44,duplicateNightQF,"Quality Flag for duplicate records per night",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
45,missingRecordsPerBoutQF,"Quality Flag for missing records at the bout level",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
46,duplicateTrapCoordinateQF,"Quality Flag for duplicate records for trap coordinate",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
47,individualID,"Domain-level unique identifier for an individual: NEON.MOD.D##.######",NA,string,NULL,NULL,NULL,NULL,NULL
48,nlcdClass,"National Land Cover Database Vegetation Type Name",NA,string,NULL,NULL,NULL,NULL,NULL
49,decimalLatitude,"The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area",decimalDegree,real,NULL,"DWC_v2009-04-24:decimalLatitude [http://tdwg.github.io/dwc/terms/history/index.htm#decimalLatitude-2009-04-24]",NULL,NULL,NULL
50,decimalLongitude,"The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area",decimalDegree,real,NULL,"DWC_v2009-04-24:decimalLongitude [http://tdwg.github.io/dwc/terms/history/index.htm#decimalLongitude-2009-04-24]",NULL,NULL,NULL
51,geodeticDatum,"Model used to measure horizontal position on the earth",NA,string,NULL,"DWC_v2007-04-17:geodeticDatum [http://tdwg.github.io/dwc/terms/history/index.htm#geodeticDatum-2007-04-17]",NULL,NULL,NULL
52,coordinateUncertainty,"The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term",meter,real,NULL,"DWC_v2009-04-24:coordinateUncertaintyInMeters [http://tdwg.github.io/dwc/terms/history/index.htm#coordinateUncertaintyInMeters-2009-04-24]",NULL,NULL,NULL
53,elevation,"Elevation (in meters) above sea level",meter,real,NULL,"DWC_v2009-04-24:verbatimElevation [http://tdwg.github.io/dwc/terms/history/index.htm#verbatimElevation-2009-04-24]",NULL,NULL,NULL
54,elevationUncertainty,"Uncertainty in elevation values (in meters)",meter,real,NULL,NULL,NULL,NULL,NULL
55,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",NA,string,NULL,"http://rs.tdwg.org/dwc/terms/scientificName; DWC_v2009-04-24:scientificName [http://tdwg.github.io/dwc/terms/history/index.htm#scientificName-2009-09-21]",NULL,NULL,NULL
56,taxonRank,"The lowest level taxonomic rank that can be determined for the individual or specimen",NA,string,NULL,http://rs.tdwg.org/dwc/terms/taxonRank,NULL,NULL,NULL
57,identificationStatus,"A categorical indicator of changes applied to an identification based on conflicting sources, where applicable",NA,string,NULL,NULL,NULL,NULL,NULL
58,reproductiveCondition,"The reproductive condition of the individual at the time of capture. R for reproductive; N for non-reproductive",NA,string,nominal,NULL,NULL,NULL,NULL
59,consistencyTagIDSexQF,"Quality Flag for temporal consistency - Tag ID and Sex",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
60,consistencyTagIDTaxonIDQF,"Quality Flag for temporal consistency - Tag ID and Taxon ID",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
61,consistencyTagIDLifeStageQF,"Quality Flag for temporal consistency - Tag ID and Life Stage",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
62,orderTagIDRecaptureQF,"Quality Flag for order - Tag ID and Fate",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
63,orderTagIDLifeStageQF,"Quality Flag for order - Life Stage",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
64,trapID,"Identifier for trap",NA,string,NULL,NULL,NULL,NULL,NULL
65,enteredBy,"An identifier for the technician who entered the data",NA,string,NULL,NULL,NULL,NULL,NULL
66,boutNumber,"Number of the sampling bout within a calendar year, beginning with 1",number,"unsigned integer",NULL,NULL,NULL,NULL,NULL
67,sampleID,"Identifier for sample",NA,string,NULL,"DWC_v2013-05-25:materialSampleID [http://rs.tdwg.org/dwc/terms/history/index.htm#materialSampleID-2013-05-25]",NULL,NULL,NULL
68,setDate,"Date that trap was set",NA,dateTime,NULL,NULL,NULL,NULL,NULL
69,collectDate,"Date of the collection event",NA,dateTime,NULL,"DWC_v2009-04-24:eventDate [http://rs.tdwg.org/dwc/terms/history/index.htm#eventDate-2009-04-24]",NULL,NULL,NULL
70,cupStatus,"Indicator of whether the cup of the trap was disturbed or missing during the sampling bout",NA,string,NULL,NULL,NULL,NULL,NULL
71,lidStatus,"Indicator of whether the lid of the trap was disturbed or missing during the sampling bout",NA,string,NULL,NULL,NULL,NULL,NULL
72,fluidLevel,"Fluid level in the trap when it was collected; High (above line); Low (below line) or Ok",NA,string,NULL,NULL,NULL,NULL,NULL
73,trapReset,"Indicator of whether the trap was reset following sample collection",NA,string,NULL,NULL,NULL,NULL,NULL
74,processingDate,"Date that sample was processed (i.e., sorted or pinned) in the domain lab",NA,dateTime,NULL,NULL,NULL,NULL,NULL
75,associatedSampleID,"Identifier for sample being processed (e.g., sorted or analyzed)",NA,string,NULL,NULL,NULL,NULL,NULL
76,etOHChangeDate,"Date the ethanol rinse was completed",NA,dateTime,NULL,NULL,NULL,NULL,NULL
77,targetTaxaPresent,"Indicator of whether the sample contained individuals of the target taxa",NA,string,NULL,NULL,NULL,NULL,NULL
78,sampleType,"Type of sample",NA,string,NULL,NULL,NULL,NULL,NULL
79,individualCount,"Number of individuals of the same type",number,"unsigned integer",NULL,NULL,NULL,NULL,NULL
80,acceptedTaxonID,"Accepted species code, based on one or more sources",NA,string,NULL,NULL,NULL,NULL,NULL
81,morphospeciesID,"Identifier for morphospecies",NA,string,NULL,NULL,NULL,NULL,NULL
82,identifiedBy,"An identifier for the technician who identified the specimen",NA,string,NULL,NULL,NULL,NULL,NULL
83,identifiedDate,"Date on which the sample, individual, or specimen was identified",NA,dateTime,NULL,NULL,NULL,NULL,NULL
84,specimenSource,"Physical source from which individual was obtained",NA,string,NULL,NULL,NULL,NULL,NULL
85,daysOfTrapping,"number of days between trap setting and collecting events",nominalDay,"unsigned integer",NULL,NULL,NULL,NULL,NULL
86,duplicateCollectionEventQF,"Quality Flag for duplicate records at the collection event level",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
87,compareSetCollectDateQF,"Quality Flag for comparing dates that trap was set versus sample collected",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
88,scientificNameAuthorship,"Name of the individual(s) who designated the scientific name of the taxon",NA,string,NULL,http://rs.tdwg.org/dwc/terms/scientificNameAuthorship,NULL,NULL,NULL
89,duplicateSampleIDQF,"Quality Flag for duplicate records at the sample ID level",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
90,duplicateIndividualIDQF,"Quality Flag for duplicate records at the individualID level",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
91,addDate,"Date that individual was added for monitoring",NA,dateTime,NULL,NULL,NULL,NULL,NULL
92,transectMeter,"Distance (in meters) of individual from beginning of transect, when transect is walked in clockwise direction",meter,real,NULL,NULL,NULL,NULL,NULL
93,directionFromTransect,"Direction (right or left) of individual from transect, when transect is walked in a clockwise direction",NA,string,NULL,NULL,NULL,NULL,NULL
94,ninetyDegreeDistance,"Perpendicular distance from transect to selected individual (in meters)",meter,real,NULL,NULL,NULL,NULL,NULL
95,growthForm,"The growth form classification",NA,string,NULL,NULL,NULL,NULL,NULL
96,phenophaseName,"Name of phenophase following NPN definitions",NA,string,NULL,NULL,NULL,NULL,NULL
97,phenophaseStatus,"Status of the phenophase: yes, no, uncertain or missed",NA,string,NULL,NULL,NULL,NULL,NULL
98,phenophaseIntensityDefinition,"Quantity monitored for evaluating phenophase intensity, derived from NPN intensity questions",NA,string,NULL,NULL,NULL,NULL,NULL
99,phenophaseIntensity,"Intensity value range for the corresponding phenophase",NA,string,NULL,NULL,NULL,NULL,NULL
100,dropPlant,"identifies an individual plant that will no longer be monitored, drop= dropped for good, seasonalDrop= Seasonally dropped",NA,string,NULL,NULL,NULL,NULL,NULL
101,patchOrIndividual,"Unit of measurement",NA,string,NULL,NULL,NULL,NULL,NULL
102,canopyPosition,"Vertical status of an individual relative to its neighbors",NA,string,NULL,NULL,NULL,NULL,NULL
103,plantStatus,"Physical status of individual: live, dead, lost",NA,string,NULL,NULL,NULL,NULL,NULL
104,stemDiameter,"Cross-sectional stem diameter",centimeter,real,NULL,NULL,NULL,NULL,NULL
105,measurementHeight,"Height at which stemDiameter is measured",centimeter,real,NULL,NULL,NULL,NULL,NULL
106,maxCanopyDiameter,"Maximum canopy diameter of the individual or patch",meter,real,NULL,NULL,NULL,NULL,NULL
107,ninetyCanopyDiameter,"Canopy diameter perpendicular to maxCanopyDiameter",meter,real,NULL,NULL,NULL,NULL,NULL
108,percentCover,"Ocular estimate of cover of the index (e.g., species) as a percent",percent,real,ratio,NULL,NULL,NULL,NULL
109,height,"Highest point of an individual or average height of a patch",meter,real,NULL,NULL,NULL,NULL,NULL
110,adultLeafLength,"The length of an average adult leaf",centimeter,real,NULL,NULL,NULL,NULL,NULL
111,diseaseStatus,"Disease status",NA,string,NULL,NULL,NULL,NULL,NULL
112,diseaseType,"Specific disease present, if known",NA,string,NULL,NULL,NULL,NULL,NULL
113,dropDate,"Date that individual was dropped from monitoring",NA,dateTime,NULL,NULL,NULL,NULL,NULL
114,duplicateIndividualYearQF,"Quality flag for duplicate records - Per Individual Per Year",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
115,missingRecordsIndividPerYearQF,"Quality flag for missing records - Per Individual Per Year",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
116,dayOfYear,"The ordinal day of the year on which the object or observation was collected_(1 for January 1, 365 for December 31, except in a leap year, in which case it is 366)",nominalDay,"unsigned integer",NULL,NULL,NULL,NULL,NULL
117,duplicateIndividualDayStatusQF,"Quality flag for duplicate records - Individual Day Status Intensity",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
118,startSamplingProtocol,"The NEON document number and version in which information on the definition or method first used for measurement, observation, or collection can be found",NA,string,NULL,NULL,NULL,NULL,NULL
119,endSamplingProtocol,"The NEON document number and version in which information on the definition or method last used for measurement, observation, or collection can be found",NA,string,NULL,NULL,NULL,NULL,NULL
120,phenophaseDefinition,"The title for each phenophase",NA,string,NULL,NULL,NULL,NULL,NULL
121,intensityQuestion,"The full definition for each phenophase, what behaviors or attributes of each species indicate the phenophase is occurring",NA,string,NULL,NULL,NULL,NULL,NULL
122,subplotID,"Identifier for the NEON subplot",NA,string,NULL,NULL,NULL,NULL,NULL
123,divDataType,"Identifier for the type of data recorded: plantSpecies or otherVariables",NA,string,NULL,NULL,NULL,NULL,NULL
124,otherVariablesPresent,"Indicator of whether the sample contained other variables, such as abiotic, biotic, and non-vascular plant cover",NA,string,NULL,NULL,NULL,NULL,NULL
125,taxonIDRemarks,"Technician notes about the specific taxon; free text comments accompanying the record",NA,string,NULL,NULL,NULL,NULL,NULL
126,otherVariables,"Descriptor of other variables present in the sample, including abiotic, biotic, and non-vascular plant cover",NA,string,NULL,NULL,NULL,NULL,NULL
127,heightPlantOver300cm,"Indicator of whether individuals of the species in the sample are taller than 300 cm",NA,string,NULL,NULL,NULL,NULL,NULL
128,heightPlantSpecies,"Ocular estimate of the height of the plant species",centimeter,"unsigned integer",NULL,NULL,NULL,NULL,NULL
129,morphospeciesIDRemarks,"Technician notes about the morphospecies; free text comments accompanying the record",NA,string,NULL,NULL,NULL,NULL,NULL
130,duplicateTaxonIDBoutPer1m2QF,"Quality flag for duplicate records - Per 1m2 nested subplot",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
131,missingRecords1m2QF,"Quality flag for missing records - count of 1m2 subplots missing records",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
132,duplicateVariablesBout1m2QF,"Quality flag for duplicate records for non-target taxa variables - Per 1m2 nested subplot ",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
133,missingRecords10m2QF,"Quality flag for missing records - count of 10m2 subplots missing records",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
134,duplicateTaxonIDPerBout10m2QF,"Quality flag for duplicate records - Per 10m2 nested subplot",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
135,missingRecords100m2QF,"Quality flag for missing records - count of 100m2 subplots missing records",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
136,duplicateTaxonIDPerBout100m2QF,"Quality flag for duplicate records - Per 100m2 subplot",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
137,clipID,"Unique identifier for the clip-harvest location within the plot",NA,string,NULL,NULL,NULL,NULL,NULL
138,exclosure,"Identifies whether clip harvest took place in an area protected by a grazing exclosure",NA,string,NULL,NULL,NULL,NULL,NULL
139,herbGroup,"Categories indicating herbaceous plant functional group",NA,string,NULL,NULL,NULL,NULL,NULL
140,bagCount,"A per clipID count of sample bags transported from the field to the laboratory for processing",number,"unsigned integer",NULL,NULL,NULL,NULL,NULL
141,ovenInDate,"Date and time biomass from clipID was placed in the drying oven",NA,dateTime,NULL,NULL,NULL,NULL,NULL
142,ovenOutDate,"Date and time biomass from clipID was removed from the drying oven",NA,dateTime,NULL,NULL,NULL,NULL,NULL
143,weighDate,"Date that sample or subsample was weighed",NA,dateTime,NULL,NULL,NULL,NULL,NULL
144,qaDryMass,"Indicates whether 'dryMass' value is associated with 'qa' measurement type",NA,string,NULL,NULL,NULL,NULL,NULL
145,dryMass,"Oven-dried mass of sample or subsample",gram,real,NULL,NULL,NULL,NULL,NULL
146,subsampleID,"Unique identifier associated with each subsample per sampleID",NA,string,NULL,NULL,NULL,NULL,NULL
147,subsampleType,"Indicates type of subsample generated",NA,string,NULL,NULL,NULL,NULL,NULL
148,plotType,"NEON plot type in which sampling occurred: tower, distributed or gradient",NA,string,NULL,NULL,NULL,NULL,NULL
149,plotSize,"Size (in square meters) of the plot or grid",squareMeter,real,NULL,NULL,NULL,NULL,NULL
150,easting,"Geographic coordinate specifying the east-west position of a point on the Earth's surface (Universal Transverse Mercator, UTM)",meter,real,NULL,NULL,NULL,NULL,NULL
151,northing,"Geographic coordinate specifying the north-south position of a point on the Earth's surface (Universal Transverse Mercator, UTM)",meter,real,NULL,NULL,NULL,NULL,NULL
152,utmZone,"UTM zone",NA,string,NULL,NULL,NULL,NULL,NULL
153,slopeAspect,"Representative azimuth of slope gradient (0-360 degrees)",degree,real,NULL,NULL,NULL,NULL,NULL
154,slopeGradient,"Representative inclination of slope in degrees",degree,real,NULL,NULL,NULL,NULL,NULL
155,storageHours,"Total number of hours clipped biomass was stored between collection and processing",nominalHour,real,NULL,NULL,NULL,NULL,NULL
156,dryingHours,"Number of hours material was in a drying oven until dried to constant weight",nominalHour,real,NULL,NULL,NULL,NULL,NULL
157,duplicateClipQF,"Quality Flag indicating a duplicate record based on the clipID and eventID fields",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
158,multipleClipQF,"Quality Flag indicating a clipID was sampled more than once in the 12 months prior to date",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
159,exclosureQF,"Quality Flag indicating that it is unclear whether an exclosure was installed around the clipID",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
160,duplicateMassQF,"Quality Flag indicating a duplicate record based on the sampleID field",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
161,missingRecordsMassQF,"Quality Flag indicating the number of reported records is less than the number of expected records for a given clipID",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
162,subsampleDate,"Date or date and time the subsample was created",NA,dateTime,NULL,NULL,NULL,NULL,NULL
163,duplicateProcessQF,"Quality Flag indicating a duplicate record based on the subsampleID field",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
164,missingRecordsProcessQF,"Quality Flag indicating the number of reported records is less than the number of expected records for each herbGroup",NA,"signed integer",NULL,NULL,NULL,NULL,NULL
165,clipCellNumber,"A numeric identifier for the clip-harvest cell in which herbaceous biomass was sampled",NA,"unsigned integer",NULL,NULL,NULL,NULL,NULL
166,almucantarRadiance,"Measured radiance at a specific angular view, defined by degrees",microwattsPerSquareCentimeterPerSteradianPerNanometer,real,NULL,NULL,NULL,NULL,NULL
167,rawPrincipalPlaneRadiance,"Measured radiance at a specific principal plane, defined by degrees",microwattsPerSquareCentimeterPerSteradianPerNanometer,real,NULL,NULL,NULL,NULL,NULL
168,PARMean,"Arithmetic mean of photosynthetically active radiation",micromolesPerSquareMeterPerSecond,real,NULL,NULL,NULL,NULL,NULL
169,PARMinimum,"Minimum photosynthetically active radiation",micromolesPerSquareMeterPerSecond,real,NULL,NULL,NULL,NULL,NULL
170,PARMaximum,"Maximum photosynthetically active radiation",micromolesPerSquareMeterPerSecond,real,NULL,NULL,NULL,NULL,NULL
171,PARVariance,"Variance in photosynthetically active radiation",micromolesPerSquareMeterPerSecondSquared,real,NULL,NULL,NULL,NULL,NULL
172,PARNumPts,"Number of points used to calculate the arithmetic mean of photosynthetically active radiation",number,real,NULL,NULL,NULL,NULL,NULL
173,PARExpUncert,"Expanded uncertainty for photosynthetically active radiation",micromolesPerSquareMeterPerSecond,real,NULL,NULL,NULL,NULL,NULL
174,PARStdErMean,"Standard error of the mean for photosynthetically active radiation",micromolesPerSquareMeterPerSecond,real,NULL,NULL,NULL,NULL,NULL
175,PARRangeQAQCRpt,"Photosynthetically active radiation quality assurance and quality control report for the range test, which indicates whether a datum exceeds a realistic value, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,string,nominal,NULL,NULL,NULL,NULL
176,PARPersistenceQAQCRpt,"Photosynthetically active radiation quality assurance and quality control report for the persistence test, which indicates  whether there is a realistic fluctuation of values over a designated period of time, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,string,nominal,NULL,NULL,NULL,NULL
177,PARStepQAQCRpt,"Photosynthetically active radiation quality assurance and quality control report for the step test, which indicates whether unusual jumps in the data exist, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,string,nominal,NULL,NULL,NULL,NULL
178,PARNullQAQCRpt,"Photosynthetically active radiation quality assurance and quality control report for the null test, which indicates a missing datum, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,string,nominal,NULL,NULL,NULL,NULL
179,PARGapQAQCRpt,"Photosynthetically active radiation quality assurance and quality control report for the gap test, which indicates that the datum is missing and is apart of a prolonged period of missing data, detailed in NEON.DOC.011081 (1=fail, 0=pass)",NA,string,nominal,NULL,NULL,NULL,NULL
180,PARConsistencyQAQCRpt,"Photosynthetically active radiation quality assurance and quality control report for the consistency test, which indicates whether or not measurements are consistent with co-located measurements, (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,string,nominal,NULL,NULL,NULL,NULL
181,PARSpikeQAQCRpt,"Photosynthetically active radiation quality assurance and quality control report for the spike test, which indicates whether or not a datum has been identified as a spike, detailed in NEON.DOC.000783 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,string,nominal,NULL,NULL,NULL,NULL
182,PARAlphaQAQCRpt,"Photosynthetically active radiation quality assurance and quality control report for the alpha quality flag, which indicates if one or more quality analysis failed for a datum, detailed in NEON.DOC.001113 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,string,nominal,NULL,NULL,NULL,NULL
183,PARBetaQAQCRpt,"Photosynthetically active radiation quality assurance and quality control report for the beta quality flag, which indicates if one or more quality analysis could not be run for a datum, detailed in NEON.DOC.001113 (1=fail, 0=pass, -1=NA (i.e., could not be run))",NA,string,nominal,NULL,NULL,NULL,NULL
184,PARRangeFailQM,"Photosynthetically active radiation quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",percent,real,ratio,NULL,NULL,NULL,NULL
185,PARRangePassQM,"Photosynthetically active radiation quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",percent,real,ratio,NULL,NULL,NULL,NULL
186,PARRangeNAQM,"Photosynthetically active radiation quality metric that summarizes when the range test could not be run over the averaging period, as a percent",percent,real,ratio,NULL,NULL,NULL,NULL
187,PARPersistenceFailQM,"Photosynthetically active radiation quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",percent,real,ratio,NULL,NULL,NULL,NULL
188,PARPersistencePassQM,"Photosynthetically active radiation quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",percent,real,ratio,NULL,NULL,NULL,NULL
189,PARPersistenceNAQM,"Photosynthetically active radiation quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",percent,real,ratio,NULL,NULL,NULL,NULL
190,PARStepFailQM,"Photosynthetically active radiation quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",percent,real,ratio,NULL,NULL,NULL,NULL
191,PARStepPassQM,"Photosynthetically active radiation quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",percent,real,ratio,NULL,NULL,NULL,NULL
192,PARStepNAQM,"Photosynthetically active radiation quality metric that summarizes when the step test could not be run over the averaging period, as a percent",percent,real,ratio,NULL,NULL,NULL,NULL
193,PARNullFailQM,"Photosynthetically active radiation quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",percent,real,ratio,NULL,NULL,NULL,NULL
194,PARNullPassQM,"Photosynthetically active radiation quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",percent,real,ratio,NULL,NULL,NULL,NULL
195,PARNullNAQM,"Photosynthetically active radiation quality metric that summarizes when the null test could not be run over the averaging period, as a percent",percent,real,ratio,NULL,NULL,NULL,NULL
196,PARGapFailQM,"Photosynthetically active radiation quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",percent,real,ratio,NULL,NULL,NULL,NULL
197,PARGapPassQM,"Photosynthetically active radiation quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",percent,real,ratio,NULL,NULL,NULL,NULL
